policy,trial_id,scenario_mode,reset_pattern,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,peak_useful_five_hour,weekly_drift,mean_seven_day_utilization,objective_score
five_hour_first,0,focused,staggered_reset,2,14,4742,4742,0,3768,3768,0,0,1.0,0.11446738950287144,0.685471709157299,1.0571004319654427
seven_day_first,0,focused,staggered_reset,2,14,4767,4753,14,3855,3841,28,23,0.9898809523809524,0.007851734833198731,0.6806379119390302,1.0413206528108467
weighted_score,0,focused,staggered_reset,2,14,4851,4851,0,3797,3797,0,0,1.0,0.00582525261560074,0.6945401554233761,1.0688714902807774
reset_aware_weekly_priority,0,focused,staggered_reset,2,14,5094,5094,0,3950,3950,0,0,1.0,0.019508816882956304,0.7277913990997651,1.0708282582216808
reset_stagger_pressure,0,focused,staggered_reset,2,14,4865,4810,55,3833,3778,62,38,0.985204081632653,0.22733874956264155,0.6746590906101446,0.984599102369934
reset_near_expiry_reserve,0,focused,staggered_reset,2,14,4553,4553,0,3608,3608,14,14,0.9953231292517006,0.24348845636807032,0.636911111666487,1.0385939662101136
five_hour_first,1,focused,same_reset,3,24,13859,10222,3637,10619,7559,471,6,0.5699546485260731,0.0,1.0,0.6635667650974713
seven_day_first,1,focused,same_reset,3,24,13385,10222,3163,10477,7753,928,469,0.6054421768707462,0.0,1.0,0.7530061058032274
weighted_score,1,focused,same_reset,3,24,13570,10222,3348,10509,7717,616,208,0.601700680272102,0.0,1.0,0.7241216391298131
reset_aware_weekly_priority,1,focused,same_reset,3,24,13840,10222,3618,10703,7532,831,319,0.5789682539682518,0.0,1.0,0.7077402459271507
reset_stagger_pressure,1,focused,same_reset,3,24,13201,10222,2979,10068,7589,504,125,0.5718253968253963,0.0,1.0,0.7274741407424358
reset_near_expiry_reserve,1,focused,same_reset,3,24,13277,10222,3055,10196,7440,400,72,0.5740929705215447,0.0,1.0,0.7097040119974802
five_hour_first,2,focused,same_reset,3,25,19039,12321,6718,15694,9437,1033,39,0.4604875283446833,0.0,1.0,0.5598323859288704
seven_day_first,2,focused,same_reset,3,25,19107,12321,6786,15711,9566,4082,2493,0.41303854875284424,0.0,1.0,0.6218377679528357
weighted_score,2,focused,same_reset,3,25,18898,12321,6577,15500,9446,1594,708,0.45850340136055057,0.0,1.0,0.6137099525773451
reset_aware_weekly_priority,2,focused,same_reset,3,25,19291,12321,6970,15591,9326,2142,861,0.4466553287981888,0.0,1.0,0.5951386323032856
reset_stagger_pressure,2,focused,same_reset,3,25,19132,12321,6811,15657,9441,1185,248,0.4404761904762006,0.0,1.0,0.5757665787855603
reset_near_expiry_reserve,2,focused,same_reset,3,25,19303,12321,6982,15816,9360,1203,162,0.43146258503402807,0.0,1.0,0.5584779751758983
five_hour_first,3,focused,staggered_reset,3,32,15815,9583,6232,12682,7522,301,18,0.5248299319727955,0.0,1.0,0.544771211798314
seven_day_first,3,focused,staggered_reset,3,32,16068,9583,6485,12918,7527,1594,1272,0.4942743764172267,0.0,1.0,0.6194153265141061
weighted_score,3,focused,staggered_reset,3,32,15781,9583,6198,12460,7260,438,192,0.5256802721088492,0.0,1.0,0.5880054599339177
reset_aware_weekly_priority,3,focused,staggered_reset,3,32,15946,9583,6363,12700,7460,405,184,0.5416666666666716,0.0,1.0,0.590004428477755
reset_stagger_pressure,3,focused,staggered_reset,3,32,15927,9583,6344,12689,7210,595,361,0.4626984126984256,0.0,1.0,0.5903443340002524
reset_near_expiry_reserve,3,focused,staggered_reset,3,32,15640,9583,6057,12474,7226,401,205,0.4703514739229134,0.0,1.0,0.5902770898326678
five_hour_first,4,focused,staggered_reset,2,14,9892,7622,2270,7459,5518,229,8,0.6226190476190476,0.0,1.0,0.7034678352340136
seven_day_first,4,focused,staggered_reset,2,14,10096,7622,2474,7637,5489,745,507,0.5540816326530612,0.0,1.0,0.7540093310052687
weighted_score,4,focused,staggered_reset,2,14,10199,7622,2577,7632,5436,380,114,0.5907312925170068,0.0,1.0,0.7075397171313327
reset_aware_weekly_priority,4,focused,staggered_reset,2,14,9761,7622,2139,7271,5436,334,119,0.6062925170068028,0.0,1.0,0.748184384454631
reset_stagger_pressure,4,focused,staggered_reset,2,14,9944,7622,2322,7481,5487,369,119,0.6054421768707483,0.0,1.0,0.7308326249067059
reset_near_expiry_reserve,4,focused,staggered_reset,2,14,10010,7622,2388,7509,5496,123,65,0.5990646258503401,0.0,1.0,0.7509333905644758
five_hour_first,5,focused,same_reset,3,22,15952,11013,4939,12285,8198,312,20,0.5199546485260731,0.0,1.0,0.6191182752426119
seven_day_first,5,focused,same_reset,3,22,16068,11013,5055,12345,8252,1619,1169,0.45476190476190154,0.0,1.0,0.6848903341730718
weighted_score,5,focused,same_reset,3,22,15770,11013,4757,12127,8176,775,450,0.49126984126983725,0.0,1.0,0.6835178210451097
reset_aware_weekly_priority,5,focused,same_reset,3,22,16447,11013,5434,12616,8090,1111,681,0.4575963718820855,0.0,1.0,0.6543008847231924
reset_stagger_pressure,5,focused,same_reset,3,22,16437,11013,5424,12741,8089,494,132,0.4813492063492077,0.0,1.0,0.6149524283374259
reset_near_expiry_reserve,5,focused,same_reset,3,22,16384,11013,5371,12726,8191,501,94,0.4850907029478465,0.0,1.0,0.6099740722325536
five_hour_first,6,focused,staggered_reset,2,22,10008,6943,3065,7736,4861,555,11,0.5293367346938775,0.0,1.0,0.6057024314167235
seven_day_first,6,focused,staggered_reset,2,22,10020,6943,3077,7849,5144,1704,1045,0.4806972789115646,0.0,1.0,0.6767209336014144
weighted_score,6,focused,staggered_reset,2,22,9819,6943,2876,7651,5013,943,336,0.5498299319727891,0.0,1.0,0.665693547137338
reset_aware_weekly_priority,6,focused,staggered_reset,2,22,9579,6943,2636,7555,5130,1030,469,0.5444727891156462,0.0,1.0,0.6948476910904691
reset_stagger_pressure,6,focused,staggered_reset,2,22,9670,6943,2727,7655,5249,1311,584,0.5296768707482993,0.0,1.0,0.6890685170773637
reset_near_expiry_reserve,6,focused,staggered_reset,2,22,9726,6943,2783,7556,5081,1250,617,0.549234693877551,0.0,1.0,0.6914363221240856
five_hour_first,7,focused,staggered_reset,3,32,11974,10697,1277,9286,8106,0,0,0.821712018140602,0.0,1.0,0.9672304221680276
seven_day_first,7,focused,staggered_reset,3,32,11938,10697,1241,9300,8167,0,0,0.8571428571428571,0.0,1.0,0.9761431381646957
weighted_score,7,focused,staggered_reset,3,32,12085,10697,1388,9258,8179,10,10,0.8353741496598641,0.0,1.0,0.967486572094891
reset_aware_weekly_priority,7,focused,staggered_reset,3,32,12551,10697,1854,9601,8150,20,20,0.7824829931972757,0.0,1.0,0.928273517442775
reset_stagger_pressure,7,focused,staggered_reset,3,32,11890,10697,1193,9187,8089,36,36,0.759126984126959,0.0,1.0,0.9633967263051149
reset_near_expiry_reserve,7,focused,staggered_reset,3,32,11961,10697,1264,9252,8055,85,85,0.7160430839002051,0.0,1.0,0.9502340584678832
five_hour_first,8,focused,staggered_reset,3,33,22366,11648,10718,17464,8295,1530,23,0.3671768707483073,0.0,1.0,0.4259354506565298
seven_day_first,8,focused,staggered_reset,3,33,22274,11648,10626,17320,8221,3585,1396,0.2869614512471632,0.0,1.0,0.45926169821771506
weighted_score,8,focused,staggered_reset,3,33,21794,11648,10146,16935,8303,2024,466,0.3544784580498923,0.0,1.0,0.4627955242867857
reset_aware_weekly_priority,8,focused,staggered_reset,3,33,21981,11648,10333,17152,8249,2302,482,0.3621315192743844,0.0,1.0,0.45589313294432154
reset_stagger_pressure,8,focused,staggered_reset,3,33,22023,11648,10375,16993,8354,2395,471,0.3626984126984206,0.0,1.0,0.4570341629618838
reset_near_expiry_reserve,8,focused,staggered_reset,3,33,22065,11648,10417,16984,8367,2451,783,0.35612244897959966,0.0,1.0,0.4704018155067136
five_hour_first,9,focused,staggered_reset,3,23,12340,12106,234,9538,9304,95,1,0.9489229024943389,0.09926350836537969,0.8596233715039596,0.9300098868891212
seven_day_first,9,focused,staggered_reset,3,23,12438,12348,90,9728,9638,87,54,0.9722222222222224,0.003714613427450609,0.865269047447066,1.0289320123481815
weighted_score,9,focused,staggered_reset,3,23,12341,12181,160,9544,9384,75,21,0.9701814058956915,0.04628620718051091,0.858688153270629,0.9770016352530448
