policy,trial_id,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,weekly_drift,mean_seven_day_utilization,objective_score
reset_aware_weekly_priority,11,2,16,6860,3262,3598,4485,2119,6,6,0.0,1.0,0.5009730848861284
five_hour_first,12,5,8,3691,3691,0,2567,2567,0,0,0.031417721485248115,0.41478261507618913,0.9383364893590941
seven_day_first,12,5,8,3655,3655,0,2558,2558,0,0,0.001043013087689603,0.40475524104633953,0.940371222795865
weighted_score,12,5,8,3789,3789,0,2663,2663,0,0,0.024897055375483583,0.4239839520851679,0.9399086896709685
reset_aware_weekly_priority,12,5,8,3812,3812,0,2696,2696,0,0,0.04523778088400835,0.42952644045077315,0.9384288659566764
five_hour_first,13,6,16,8976,8616,360,6813,6479,10,5,0.0,1.0,0.8846691524774514
seven_day_first,13,6,16,8920,8616,304,6776,6510,96,96,0.0,1.0,0.9663294481710707
weighted_score,13,6,16,9122,8616,506,6933,6491,41,35,0.0,1.0,0.9232813101031007
reset_aware_weekly_priority,13,6,16,9206,8616,590,7031,6492,40,40,0.0,1.0,0.9359728276374393
five_hour_first,14,5,12,8885,7660,1225,6147,5347,0,0,0.0,1.0,0.8709528299304445
seven_day_first,14,5,12,8827,7660,1167,6025,5269,24,24,0.0,1.0,0.8760851066630252
weighted_score,14,5,12,8916,7660,1256,6135,5310,55,53,0.0,1.0,0.8623176308258921
reset_aware_weekly_priority,14,5,12,8801,7660,1141,6101,5392,64,64,0.0,1.0,0.8801963346575497
five_hour_first,15,3,17,16740,4139,12601,13284,2624,1460,1,0.0,1.0,0.12256191933574467
seven_day_first,15,3,17,16597,4139,12458,12817,2601,1827,453,0.0,1.0,0.1624932121350202
weighted_score,15,3,17,16430,4139,12291,12879,2582,1550,247,0.0,1.0,0.15036563397779334
reset_aware_weekly_priority,15,3,17,16604,4139,12465,12804,2642,1636,317,0.0,1.0,0.1551443320331559
five_hour_first,16,4,19,12558,7956,4602,7796,4723,68,3,0.0,1.0,0.5015517827359823
seven_day_first,16,4,19,12046,7956,4090,7436,4538,207,167,0.0,1.0,0.6359108216638603
weighted_score,16,4,19,12401,7956,4445,7481,4401,216,107,0.0,1.0,0.5704709545302727
reset_aware_weekly_priority,16,4,19,12571,7956,4615,7684,4579,222,132,0.0,1.0,0.5811872342546954
five_hour_first,17,4,14,8392,6829,1563,6322,4998,0,0,0.0,1.0,0.8172689850293541
seven_day_first,17,4,14,8744,6829,1915,6538,5130,90,88,0.0,1.0,0.7895224486290809
weighted_score,17,4,14,8246,6829,1417,6164,5006,32,32,0.0,1.0,0.832745119534093
reset_aware_weekly_priority,17,4,14,8213,6829,1384,6133,5022,5,5,0.0,1.0,0.8367528798551227
five_hour_first,18,3,18,7915,6428,1487,5472,4268,56,0,0.0,1.0,0.6634828985234195
seven_day_first,18,3,18,8032,6428,1604,5569,4410,100,50,0.0,1.0,0.7331800737434531
weighted_score,18,3,18,7940,6428,1512,5613,4399,69,5,0.0,1.0,0.6734989102831146
reset_aware_weekly_priority,18,3,18,7939,6428,1511,5300,4179,38,11,0.0,1.0,0.7073153278480289
five_hour_first,19,7,11,3647,3647,0,2257,2257,0,0,0.025760584719172263,0.29412585060011187,0.926836526588094
seven_day_first,19,7,11,3509,3509,0,2229,2229,0,0,0.0016188121119425118,0.2802210900956002,0.9278602277983659
weighted_score,19,7,11,3666,3666,0,2313,2313,0,0,0.0282201732524325,0.29175748024813464,0.9263537306995703
reset_aware_weekly_priority,19,7,11,3636,3636,0,2269,2269,0,0,0.04856899785789947,0.28756325983587283,0.9238994261977973
five_hour_first,20,7,17,7578,7578,0,5456,5456,0,0,0.08296127410784698,0.6907657474872843,0.9607804473379438
seven_day_first,20,7,17,7582,7582,0,5458,5458,0,0,0.004411221866124266,0.6838538710440792,0.9679442649177955
weighted_score,20,7,17,7740,7740,0,5481,5481,0,0,0.03165006838089281,0.7028854401677949,0.9671235371786903
