policy,trial_id,scenario_mode,reset_pattern,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,weekly_drift,mean_seven_day_utilization,objective_score
reset_aware_weekly_priority,8,focused,same_reset,3,30,81113,7119,73994,63109,4264,9148,436,0.0,1.0,-0.014522971778677451
reset_stagger_pressure,8,focused,same_reset,3,30,79921,7119,72802,62422,4236,8798,396,0.0,1.0,-0.013930469611910079
five_hour_first,9,focused,same_reset,3,20,37634,5754,31880,27631,3325,2565,16,0.0,1.0,0.03804519817043636
seven_day_first,9,focused,same_reset,3,20,37487,5754,31733,27310,3328,4333,639,0.0,1.0,0.060031211189408545
weighted_score,9,focused,same_reset,3,20,37339,5754,31585,27100,3347,3046,308,0.0,1.0,0.053914943166441215
reset_aware_weekly_priority,9,focused,same_reset,3,20,37595,5754,31841,27498,3339,3213,485,0.0,1.0,0.06013573082000756
reset_stagger_pressure,9,focused,same_reset,3,20,37532,5754,31778,27556,3331,2649,174,0.0,1.0,0.04738947665588675
five_hour_first,10,focused,staggered_reset,3,21,42655,5275,37380,30671,3073,5383,5,0.0,1.0,0.011754057858592515
seven_day_first,10,focused,staggered_reset,3,21,43458,5275,38183,31246,3023,6454,541,0.0,1.0,0.021727788383221314
weighted_score,10,focused,staggered_reset,3,21,43229,5275,37954,30921,3013,5698,236,0.0,1.0,0.015990369998438198
reset_aware_weekly_priority,10,focused,staggered_reset,3,21,43074,5275,37799,30803,3061,5788,184,0.0,1.0,0.015336412961077545
reset_stagger_pressure,10,focused,staggered_reset,3,21,42655,5275,37380,30717,3070,5694,389,0.0,1.0,0.02180043241209606
five_hour_first,11,focused,staggered_reset,2,16,37564,2902,34662,26951,1557,3924,2,0.0,1.0,-0.03140229667508401
seven_day_first,11,focused,staggered_reset,2,16,39288,2902,36386,27989,1550,4188,253,0.0,1.0,-0.025388315377411458
weighted_score,11,focused,staggered_reset,2,16,39038,2902,36136,27835,1538,4150,132,0.0,1.0,-0.029378894284945778
reset_aware_weekly_priority,11,focused,staggered_reset,2,16,39167,2902,36265,27891,1573,4002,90,0.0,1.0,-0.03066206583236533
reset_stagger_pressure,11,focused,staggered_reset,2,16,38337,2902,35435,27177,1560,4128,244,0.0,1.0,-0.023795376068986795
five_hour_first,12,focused,same_reset,3,19,43263,4301,38962,32701,2386,3660,14,0.0,1.0,-0.011594553849012174
seven_day_first,12,focused,same_reset,3,19,43591,4301,39290,33162,2380,4466,736,0.0,1.0,0.011729339750111256
weighted_score,12,focused,same_reset,3,19,43967,4301,39666,33188,2380,4094,332,0.0,1.0,-0.0014313332769920473
reset_aware_weekly_priority,12,focused,same_reset,3,19,43885,4301,39584,33105,2387,4044,374,0.0,1.0,0.0005026882205023675
reset_stagger_pressure,12,focused,same_reset,3,19,42967,4301,38666,32339,2381,3811,215,0.0,1.0,-0.0030610324757378293
five_hour_first,13,focused,staggered_reset,3,15,33594,3791,29803,24671,2215,2826,0,0.0,1.0,0.0014386538250170944
seven_day_first,13,focused,staggered_reset,3,15,34107,3791,30316,25077,2236,3175,310,0.0,1.0,0.014742154595272505
weighted_score,13,focused,staggered_reset,3,15,33281,3791,29490,24306,2191,3064,153,0.0,1.0,0.009761982609686998
reset_aware_weekly_priority,13,focused,staggered_reset,3,15,33727,3791,29936,24951,2219,3048,173,0.0,1.0,0.00942912565625742
reset_stagger_pressure,13,focused,staggered_reset,3,15,33427,3791,29636,24373,2221,3183,397,0.0,1.0,0.02087804167968277
five_hour_first,14,focused,staggered_reset,3,28,100772,3667,97105,82989,2001,9135,14,0.0,1.0,-0.0682698541980026
seven_day_first,14,focused,staggered_reset,3,28,101206,3667,97539,83422,1997,9963,546,0.0,1.0,-0.060431831347741854
weighted_score,14,focused,staggered_reset,3,28,100244,3667,96577,82071,1996,9369,212,0.0,1.0,-0.06491920626313086
reset_aware_weekly_priority,14,focused,staggered_reset,3,28,101774,3667,98107,83823,2030,9863,341,0.0,1.0,-0.06353795756754538
reset_stagger_pressure,14,focused,staggered_reset,3,28,100486,3667,96819,82657,2027,9297,189,0.0,1.0,-0.06527501999040711
five_hour_first,15,focused,staggered_reset,2,16,52053,4495,47558,41534,2616,4246,20,0.0,1.0,-0.023099312047207776
seven_day_first,15,focused,staggered_reset,2,16,52125,4495,47630,41870,2616,6897,614,0.0,1.0,-0.010662084097213947
weighted_score,15,focused,staggered_reset,2,16,51497,4495,47002,41525,2616,4532,283,0.0,1.0,-0.013783079388107439
reset_aware_weekly_priority,15,focused,staggered_reset,2,16,52418,4495,47923,42043,2616,4893,113,0.0,1.0,-0.02095327493535365
reset_stagger_pressure,15,focused,staggered_reset,2,16,52754,4495,48259,42874,2616,4367,173,0.0,1.0,-0.019158939151718596
five_hour_first,16,focused,staggered_reset,3,28,59905,5370,54535,44364,3104,7228,12,0.0,1.0,-0.01950995540910186
seven_day_first,16,focused,staggered_reset,3,28,59593,5370,54223,44039,3126,9022,833,0.0,1.0,-0.0053270081233046385
weighted_score,16,focused,staggered_reset,3,28,59886,5370,54516,44119,3102,8319,369,0.0,1.0,-0.012999833521553206
reset_aware_weekly_priority,16,focused,staggered_reset,3,28,59378,5370,54008,43514,3122,8425,525,0.0,1.0,-0.00940978795315306
reset_stagger_pressure,16,focused,staggered_reset,3,28,59535,5370,54165,43915,3105,8276,429,0.0,1.0,-0.01140898214071151
five_hour_first,17,focused,same_reset,3,22,59934,5945,53989,50763,3421,12618,2,0.0,1.0,-0.013693611894995489
seven_day_first,17,focused,same_reset,3,22,59954,5945,54009,50766,3369,13079,481,0.0,1.0,-0.008481145843747873
weighted_score,17,focused,same_reset,3,22,59395,5945,53450,50113,3362,12899,287,0.0,1.0,-0.009825616643003854
reset_aware_weekly_priority,17,focused,same_reset,3,22,59394,5945,53449,49944,3420,12825,244,0.0,1.0,-0.009961025423465025
reset_stagger_pressure,17,focused,same_reset,3,22,60839,5945,54894,51262,3401,13585,555,0.0,1.0,-0.008883709790126676
five_hour_first,18,focused,staggered_reset,2,17,47404,3101,44303,38649,1906,4858,2,0.0,1.0,-0.04181784290515833
seven_day_first,18,focused,staggered_reset,2,17,47041,3101,43940,38010,1906,6928,355,0.0,1.0,-0.03363277202250922
weighted_score,18,focused,staggered_reset,2,17,46872,3101,43771,38119,1906,6498,127,0.0,1.0,-0.038256770210644414
reset_aware_weekly_priority,18,focused,staggered_reset,2,17,47418,3101,44317,38530,1906,5888,149,0.0,1.0,-0.03805918264937991
reset_stagger_pressure,18,focused,staggered_reset,2,17,48085,3101,44984,38805,1906,4904,73,0.0,1.0,-0.040344807449178316
five_hour_first,19,focused,same_reset,2,17,25378,3142,22236,19120,1769,1399,12,0.0,1.0,0.011082479322806621
seven_day_first,19,focused,same_reset,2,17,24791,3142,21649,18563,1755,4062,429,0.0,1.0,0.02819535656537356
weighted_score,19,focused,same_reset,2,17,25545,3142,22403,19148,1761,1698,225,0.0,1.0,0.028967323381123677
reset_aware_weekly_priority,19,focused,same_reset,2,17,25037,3142,21895,18633,1746,2461,370,0.0,1.0,0.03382397550509891
reset_stagger_pressure,19,focused,same_reset,2,17,24867,3142,21725,18672,1783,2211,218,0.0,1.0,0.02710886702366444
five_hour_first,20,focused,staggered_reset,2,15,25017,2847,22170,19072,1593,2069,10,0.0,1.0,0.0012682146845787723
seven_day_first,20,focused,staggered_reset,2,15,24623,2847,21776,18691,1594,2632,443,0.0,1.0,0.027503904842872462
weighted_score,20,focused,staggered_reset,2,15,24995,2847,22148,19043,1576,2134,143,0.0,1.0,0.010473510110232759
reset_aware_weekly_priority,20,focused,staggered_reset,2,15,24651,2847,21804,18772,1603,2345,216,0.0,1.0,0.016009506292518294
reset_stagger_pressure,20,focused,staggered_reset,2,15,24970,2847,22123,19050,1592,2084,67,0.0,1.0,0.005526619394217891
five_hour_first,21,focused,staggered_reset,3,24,73877,5596,68281,59122,3033,7919,21,0.0,1.0,-0.033753779035511466
seven_day_first,21,focused,staggered_reset,3,24,73273,5596,67677,58563,3040,11369,1251,0.0,1.0,-0.017056766384747457
weighted_score,21,focused,staggered_reset,3,24,74002,5596,68406,59196,3053,9483,563,0.0,1.0,-0.025267278148851685
reset_aware_weekly_priority,21,focused,staggered_reset,3,24,73601,5596,68005,58867,3039,9362,846,0.0,1.0,-0.020316888746574696
reset_stagger_pressure,21,focused,staggered_reset,3,24,73089,5596,67493,58226,3041,8240,404,0.0,1.0,-0.025993817056641416
five_hour_first,22,focused,same_reset,2,15,40453,2782,37671,33523,1599,3283,0,0.0,1.0,-0.039935534674117146
seven_day_first,22,focused,same_reset,2,15,40485,2782,37703,33383,1604,3820,190,0.0,1.0,-0.03242539896143448
weighted_score,22,focused,same_reset,2,15,40458,2782,37676,33685,1602,3563,83,0.0,1.0,-0.03648232126979964
reset_aware_weekly_priority,22,focused,same_reset,2,15,40865,2782,38083,33696,1603,3718,51,0.0,1.0,-0.03839486709218523
reset_stagger_pressure,22,focused,same_reset,2,15,41020,2782,38238,33867,1598,3803,71,0.0,1.0,-0.037929032810398
five_hour_first,23,focused,staggered_reset,2,14,17890,3725,14165,12712,2430,755,8,0.0,1.0,0.09513071087629779
seven_day_first,23,focused,staggered_reset,2,14,18202,3725,14477,12884,2378,1464,424,0.0,1.0,0.13283861390691243
weighted_score,23,focused,staggered_reset,2,14,17681,3725,13956,12502,2440,936,102,0.0,1.0,0.11261303744080264
reset_aware_weekly_priority,23,focused,staggered_reset,2,14,17971,3725,14246,12850,2370,1088,77,0.0,1.0,0.101819633316384
reset_stagger_pressure,23,focused,staggered_reset,2,14,18362,3725,14637,13027,2348,965,74,0.0,1.0,0.09856807832334477
five_hour_first,24,focused,same_reset,2,15,55945,3092,52853,46088,1611,4202,7,0.0,1.0,-0.05232340461431756
seven_day_first,24,focused,same_reset,2,15,56477,3092,53385,46550,1601,5918,569,0.0,1.0,-0.03865605117547766
weighted_score,24,focused,same_reset,2,15,56640,3092,53548,46729,1625,4550,203,0.0,1.0,-0.046400670687780976
reset_aware_weekly_priority,24,focused,same_reset,2,15,56155,3092,53063,46020,1637,4720,79,0.0,1.0,-0.050053216512538995
reset_stagger_pressure,24,focused,same_reset,2,15,56398,3092,53306,46262,1649,4784,191,0.0,1.0,-0.04672283878728631
five_hour_first,25,focused,same_reset,3,19,57709,4539,53170,42697,2487,4499,13,0.0,1.0,-0.029947387237481776
