policy,trial_id,scenario_mode,reset_pattern,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,peak_useful_five_hour,weekly_drift,mean_seven_day_utilization,objective_score
weighted_score,6,focused,staggered_reset,2,22,29328,3674,25654,23746,2251,2251,161,0.06879251700680272,0.0,1.0,0.02569725029354744
reset_aware_weekly_priority,6,focused,staggered_reset,2,22,29100,3674,25426,23641,2252,2288,102,0.08010204081632653,0.0,1.0,0.025021111452662947
reset_stagger_pressure,6,focused,staggered_reset,2,22,28695,3674,25021,23372,2241,2999,166,0.07678571428571429,0.0,1.0,0.027075588285982555
reset_near_expiry_reserve,6,focused,staggered_reset,2,22,29410,3674,25736,23893,2168,2375,329,0.06904761904761905,0.0,1.0,0.03234470600154565
five_hour_first,7,focused,staggered_reset,3,32,34981,5215,29766,27470,3334,3461,17,0.056802721088434725,0.0,1.0,0.038518666555223374
seven_day_first,7,focused,staggered_reset,3,32,35214,5215,29999,27727,3404,6057,1058,0.05311791383219899,0.0,1.0,0.058108859010759045
weighted_score,7,focused,staggered_reset,3,32,34808,5215,29593,27157,3288,3903,391,0.05113378684807224,0.0,1.0,0.04941462031079452
reset_aware_weekly_priority,7,focused,staggered_reset,3,32,34301,5215,29086,26924,3425,4522,651,0.06179138321995402,0.0,1.0,0.05958769832312616
reset_stagger_pressure,7,focused,staggered_reset,3,32,35221,5215,30006,27530,3350,4428,780,0.05538548752834417,0.0,1.0,0.058305865992484746
reset_near_expiry_reserve,7,focused,staggered_reset,3,32,35221,5215,30006,27447,3365,4131,646,0.05782312925170015,0.0,1.0,0.056597455116952994
five_hour_first,8,focused,staggered_reset,3,33,61521,6547,54974,47466,3592,5228,24,0.03588435374149686,0.0,1.0,-0.005025310723361098
seven_day_first,8,focused,staggered_reset,3,33,61399,6547,54852,47588,3600,13647,1387,0.031122448979592012,0.0,1.0,0.0059813246073741055
weighted_score,8,focused,staggered_reset,3,33,62183,6547,55636,47823,3600,6300,565,0.034183673469388026,0.0,1.0,0.004091894947146402
reset_aware_weekly_priority,8,focused,staggered_reset,3,33,61943,6547,55396,47876,3593,9683,908,0.03435374149659887,0.0,1.0,0.004793967356073986
reset_stagger_pressure,8,focused,staggered_reset,3,33,61923,6547,55376,47639,3584,8345,517,0.0349206349206352,0.0,1.0,0.0011428473391466853
